"","celltype"
"afiimmlf-1","HSC"
"afikfkpe-1","MonoCD14"
"afimpaeb-1","Erythroid"
"afiojddh-1","Plasma_cell"
"afjcfpin-1","Nonhaem"
"afjcmjcp-1","B_progenitor"
"afjdlbfp-1","BaEoMa"
"afjfghnn-1","MonoCD14"
"afjgdfof-1","NK_cell"
"afjlafec-1","BaEoMa"
"afjnamnk-1","Macrophage"
"afjocngn-1","Nonhaem"
"afkackij-1","MonoCD14"
"afkakipb-1","HSC"
"afkidjgm-1","Macrophage"
"afkiodpe-1","Nonhaem"
"afkldkaj-1","MAIT_gdT"
"afkocpal-1","MonoCD14"
"aflaaicj-1","T_prolifer"
"aflfdkpb-1","Macrophage"
"aflhodpe-1","Macrophage"
"afljpgfe-1","Nonhaem"
"aflkcbkh-1","MonoCD14"
"afmbhcji-1","Nonhaem"
"afmbmdmd-1","Nonhaem"
"afmcabec-1","Nonhaem"
"afmcniff-1","B_progenitor"
"afmjpcjk-1","NK_cell"
"afmmefje-1","B_progenitor"
"afmookjp-1","Erythroid"
"afmpkmfk-1","Granulocyte_monocyte_progenitor"
"afnanphl-1","Nonhaem"
"afnbdplb-1","Neutrophil"
"afncmbgd-1","Nonhaem"
"afnkmagb-1","Erythroid"
"afoabnah-1","B_naive"
"afobmadj-1","Neutrophil"
"afokdkni-1","Granulocyte_monocyte_progenitor"
"afokgfio-1","MonoCD14"
"afonjkhi-1","Nonhaem"
"afookmfl-1","HSC"
"afopaada-1","BaEoMa"
"afpaknif-1","Neutrophil"
"afpdcfid-1","Nonhaem"
"afpefjjl-1","MAIT_gdT"
"afpegagm-1","HSC"
"afpfmkec-1","BaEoMa"
"afpheehh-1","Granulocyte_monocyte_progenitor"
"afpkkomh-1","MonoCD14"
"afplccbj-1","BaEoMa"
"afpohaai-1","MonoCD14"
"afpolonm-1","MonoCD14"
"afppdeak-1","MonoCD14"
"afppijmo-1","Nonhaem"
"afppocbl-1","MonoCD14"
"agaaplai-1","Nonhaem"
"agaemapi-1","Macrophage"
"agagdmge-1","CTL"
"agaikkfo-1","Erythroid"
"agaklcoc-1","Erythroid"
"agamedcc-1","Nonhaem"
"aganfakd-1","Nonhaem"
"agaonmke-1","Macrophage"
"agapnljp-1","Nonhaem"
"agbianeb-1","Nonhaem"
"agbkagce-1","MonoCD14"
"agblalal-1","Nonhaem"
"agblhogb-1","Nonhaem"
"agblnbcn-1","HSC"
"agboaoif-1","BaEoMa"
"agboegie-1","Granulocyte_monocyte_progenitor"
"agbpimji-1","B_progenitor"
"agcekain-1","B_progenitor"
"agcelbhb-1","Macrophage"
"agcgaijj-1","Nonhaem"
