"","celltype"
"acbnajji-1","HSC"
"acbndlik-1","Erythroid"
"acbnelip-1","Erythroid"
"acbnfalj-1","MonoCD14"
"acbnjjme-1","Granulocyte_monocyte_progenitor"
"acbocmcg-1","HSC"
"acbogina-1","HSC"
"accamcaj-1","Neutrophil"
"accbejog-1","Erythroid"
"accbgmhj-1","Plasma_cell"
"accbholb-1","Neutrophil"
"accfbjhn-1","HSC"
"accfckan-1","Erythroid"
"accffgkl-1","HSC"
"accfljln-1","Macrophage"
"acchnain-1","BaEoMa"
"accifcni-1","HSC"
"accifehi-1","HSC"
"accigpeh-1","Erythroid"
"accilhjc-1","Erythroid"
"accjhdmj-1","Neutrophil"
"accjmgeg-1","BaEoMa"
"acckpifc-1","Neutrophil"
"accldmfe-1","MonoCD14"
"accleepm-1","Erythroid"
"accmcefm-1","Erythroid"
"accoefco-1","Erythroid"
"accognld-1","Macrophage"
"accpngnn-1","Erythroid"
"accpnpbe-1","Erythroid"
"acdailbo-1","Neutrophil"
"acdbacdk-1","Neutrophil"
"acdblgkp-1","Erythroid"
"acdbmlhm-1","Erythroid"
"acdcmgpc-1","Erythroid"
"acdcmnef-1","Erythroid"
"acdcmocg-1","BaEoMa"
"acdcnfod-1","B_naive"
"acdecihe-1","Nonhaem"
"acdejgfn-1","Nonhaem"
"acdfbkbg-1","Nonhaem"
"acdfnkgi-1","Erythroid"
"acdfpfdm-1","Nonhaem"
"acdgecjf-1","Erythroid"
"acdgephd-1","HSC"
"acdgnmao-1","Macrophage"
"acdianmg-1","Nonhaem"
"acdihede-1","HSC"
"acdjcjcn-1","HSC"
"acdjmpgk-1","Neutrophil"
"acdkgcnj-1","Erythroid"
"acdmendk-1","Neutrophil"
"acdnjobc-1","CD8_T_naive"
"acdofjaj-1","CD4_Tcm"
"acdpcplo-1","Erythroid"
"aceaghhn-1","Neutrophil"
"acecccea-1","Erythroid"
"acecjafn-1","Plasma_cell"
"acedlkol-1","Erythroid"
"aceeikli-1","Neutrophil"
"acefabbn-1","HSC"
"acefaejg-1","Macrophage"
"acefcigc-1","Neutrophil"
"acegfiap-1","HSC"
"acehlpmm-1","Neutrophil"
